item;Comentario
1;El servicio fue excelente, volveré pronto.
2;El corte no fue lo que esperaba, estoy decepcionado.
3;El lugar está bien, nada fuera de lo común.
4;Me encantó el trato y la amabilidad del personal.
5;El servicio fue lento y poco profesional.
6;El corte de cabello estuvo bien, pero no espectacular.
7;The service was fantastic, I'll come back soon.
8;The haircut wasn't what I expected, I'm disappointed.
9;The place is okay, nothing special.
10;I loved the friendliness of the staff.
11;The service was slow and unprofessional.
12;The haircut was decent, but not amazing.
13;Le service était excellent, je reviendrai bientôt.
14;La coupe n'était pas ce que j'attendais, je suis déçu.
15;L'endroit est correct, rien de spécial.
16;J'ai adoré la gentillesse du personnel.
17;Le service était lent et peu professionnel.
18;La coupe de cheveux était correcte, mais pas extraordinaire.
19;El servicio fue excelente, volveré pronto.
20;El corte no fue lo que esperaba, estoy decepcionado.
21;El lugar está bien, nada fuera de lo común.
22;Me encantó el trato y la amabilidad del personal.
23;El servicio fue lento y poco profesional.
24;El corte de cabello estuvo bien, pero no espectacular.
25;The service was fantastic, I'll come back soon.
26;The haircut wasn't what I expected, I'm disappointed.
27;The place is okay, nothing special.
28;I loved the friendliness of the staff.
29;The service was slow and unprofessional.
30;The haircut was decent, but not amazing.
31;Le service était excellent, je reviendrai bientôt.
32;La coupe n'était pas ce que j'attendais, je suis déçu.
33;L'endroit est correct, rien de spécial.
34;J'ai adoré la gentillesse du personnel.
35;Le service était lent et peu professionnel.
36;La coupe de cheveux était correcte, mais pas extraordinaire.
37;El servicio fue excelente, volveré pronto.
38;El corte no fue lo que esperaba, estoy decepcionado.
39;El lugar está bien, nada fuera de lo común.
40;Me encantó el trato y la amabilidad del personal.
41;El servicio fue lento y poco profesional.
42;El corte de cabello estuvo bien, pero no espectacular.
43;The service was fantastic, I'll come back soon.
44;The haircut wasn't what I expected, I'm disappointed.
45;The place is okay, nothing special.
46;I loved the friendliness of the staff.
47;The service was slow and unprofessional.
48;The haircut was decent, but not amazing.
49;Le service était excellent, je reviendrai bientôt.
50;La coupe n'était pas ce que j'attendais, je suis déçu.
51;L'endroit est correct, rien de spécial.
52;J'ai adoré la gentillesse du personnel.
53;Le service était lent et peu professionnel.
54;La coupe de cheveux était correcte, mais pas extraordinaire.
55;El servicio fue excelente, volveré pronto.
56;El corte no fue lo que esperaba, estoy decepcionado.
57;El lugar está bien, nada fuera de lo común.
58;Me encantó el trato y la amabilidad del personal.
59;El servicio fue lento y poco profesional.
60;El corte de cabello estuvo bien, pero no espectacular.
61;The service was fantastic, I'll come back soon.
62;The haircut wasn't what I expected, I'm disappointed.
63;The place is okay, nothing special.
64;I loved the friendliness of the staff.
65;The service was slow and unprofessional.
66;The haircut was decent, but not amazing.
67;Le service était excellent, je reviendrai bientôt.
68;La coupe n'était pas ce que j'attendais, je suis déçu.
69;L'endroit est correct, rien de spécial.
70;J'ai adoré la gentillesse du personnel.
71;Le service était lent et peu professionnel.
72;La coupe de cheveux était correcte, mais pas extraordinaire.
73;El servicio fue excelente, volveré pronto.
74;El corte no fue lo que esperaba, estoy decepcionado.
75;El lugar está bien, nada fuera de lo común.
76;Me encantó el trato y la amabilidad del personal.
77;El servicio fue lento y poco profesional.
78;El corte de cabello estuvo bien, pero no espectacular.
79;The service was fantastic, I'll come back soon.
80;The haircut wasn't what I expected, I'm disappointed.
81;The place is okay, nothing special.
82;I loved the friendliness of the staff.
83;The service was slow and unprofessional.
84;The haircut was decent, but not amazing.
85;Le service était excellent, je reviendrai bientôt.
86;La coupe n'était pas ce que j'attendais, je suis déçu.
87;L'endroit est correct, rien de spécial.
88;J'ai adoré la gentillesse du personnel.
89;Le service était lent et peu professionnel.
90;La coupe de cheveux était correcte, mais pas extraordinaire.
91;El servicio fue excelente, volveré pronto.
92;El corte no fue lo que esperaba, estoy decepcionado.
93;El lugar está bien, nada fuera de lo común.
94;Me encantó el trato y la amabilidad del personal.
95;El servicio fue lento y poco profesional.
96;El corte de cabello estuvo bien, pero no espectacular.
97;The service was fantastic, I'll come back soon.
98;The haircut wasn't what I expected, I'm disappointed.
99;The place is okay, nothing special.
100;I loved the friendliness of the staff.
